name,dob,amt1,amt2
"Aaron Hernandez","1939-07-25",86887,5967
"Stacey Morris","1952-07-29",72856,9955
"Angela Simmons","1978-05-14",67110,3323
"Kevin Reilly","1927-07-16",12775,9534
"Michael Harvey","1916-06-07",48202,3333
"Valerie Hampton","1907-01-28",68395,1911
"Sean Taylor","2016-01-27",25725,5401
"Morgan Pittman","1947-09-23",12719,4223
"Nathan Leonard","2017-05-02",54053,8951
"Andrew Huber","1968-07-03",97970,161
"Elizabeth Thomas","1929-08-25",25085,148
"John Nicholson","1965-09-22",75588,5057
"Gloria Holmes","1940-09-18",9913,641
"Janice Hall MD","1992-02-17",90448,164
"Tiffany Weaver","1916-02-29",40367,916
"Joe Jones","1987-06-02",88428,6593
"Gary Johnson","1986-04-12",54268,6024
"John Rodriguez","1905-02-08",53797,6124
"Aaron Fuller","2001-10-23",26765,9371
"Curtis Vaughn","1949-08-02",32683,6290
"Juan Green","1999-12-29",90520,1743
"Mary Thomas","1990-10-04",8559,2043
"Kurt Le","1976-10-10",51774,2970
"Steven Strong","1930-10-27",48930,1980
"Daniel Oconnell","2015-11-17",97670,4998
"Christopher Montgomery","1906-03-17",20748,5616
"Christopher Bernard","2018-07-02",60479,4172
"Melissa Turner","1920-07-14",4398,2364
"Randy Edwards","1980-12-29",20125,8916
"Richard Sutton","1952-08-20",77422,9772
"Daniel Mcdonald","2005-07-18",15771,8570
"Ana Kelly","1906-12-26",21360,5822
"Caitlin Higgins","1927-06-26",2988,6578
"Melanie Cooper","1943-12-15",11133,4796
"Margaret Baker","1949-05-11",22922,2362
"Kristy Munoz","2010-05-01",52813,682
"Jesse Robinson","2015-05-31",71407,465
"Deborah Obrien","1948-04-28",65530,2328
"John Higgins","2014-12-12",49173,3100
"Melissa Burgess","1957-05-23",81971,558
"Christopher Shaffer","1950-11-11",34012,9784
"Amanda Morris","2014-12-08",91844,2001
"Crystal Watson","1934-10-28",78450,799
"Olivia Williams","1986-12-10",91340,527
"Suzanne Hines","1965-02-22",53856,8124
"Erica Williams","1910-03-22",92031,9716
"Kristin Livingston","2003-10-26",96493,7248
"Brett Hammond","1930-12-22",76509,972
"Tara Henry","2001-07-04",34185,9346
"William Murillo","1940-04-29",74988,993
"Justin Caldwell","1925-09-02",84125,3664
"David Mann","1912-09-08",42790,8628
"Jessica Anderson","1981-01-15",59700,2441
"Jennifer Lee","1933-09-24",52760,2803
"Dana Young","1938-10-04",39950,2677
"James Williams","2008-08-02",47545,8669
"Sheila Jensen","2009-04-03",40981,4615
"Molly Hoffman","2008-05-26",97004,4800
"Sabrina Mcdowell","1988-02-10",91617,6664
"Andrea Estes","1909-04-01",27799,9876
"William Johnson","1982-12-24",8277,788
"Melissa Wade","1932-12-04",52157,3926
"Jose Larson","1907-12-16",21137,6304
"Danny Joyce","1956-05-21",87319,7291
"Heidi Cox","1953-12-27",60876,4309
"Renee Rojas","1957-06-18",86958,6253
"Emily Matthews","1933-05-31",62385,1026
"Jack Stevenson","1996-01-29",79546,4374
"Connie Bush","1931-09-29",28956,5188
"Stephanie Bennett","1956-06-20",62211,8879
"Todd Franco","1910-06-13",41214,4636
"Kayla Harris","1918-02-24",54733,3159
"Carrie Rocha","1950-08-08",97720,6726
"Elaine Bush","1971-05-23",19344,9707
"Ryan Berry","2010-10-07",88881,5737
"Dr. Christina Mendoza","1978-12-11",40272,4695
"Adrian Chen","2002-02-04",48413,1985
"Kristin Mccoy","1961-08-02",45000,8514
"Melissa Mccoy","2000-10-24",36424,2262
"Christopher Lewis","1932-06-06",47755,5756
"Mrs. Melissa Hoffman","2019-08-20",31167,2018
"John Williamson","1923-05-26",90865,7662
"Troy Lewis","1944-10-29",69937,433
"Kyle Butler","1909-01-15",63406,5199
"Vincent Gonzalez","1968-09-22",36304,1929
"Billy Thomas","1942-06-27",22623,6347
"Kenneth Cardenas","1976-02-20",61700,9490
"Sarah Rodriguez","1905-08-07",53575,5135
"Steven Gomez","1948-01-21",98532,3131
"Thomas Brown","1919-07-08",21832,4885
"David Ford","2014-05-09",80278,4377
"Andrew Watson","1942-12-08",2891,252
"Joseph Brown","1904-12-09",7182,7821
"Mrs. Dana Medina MD","1935-10-27",91646,1726
"John Martin","2012-04-15",74629,8128
"Nicholas Rodriguez","1954-10-10",30858,2701
"Mark Bryant","1910-05-19",67277,3036
"Mr. Robert Craig","1940-07-05",79954,4735
"Brandon Kelly","1976-08-10",65620,5933
"Nicholas Thomas","1935-05-11",29020,8586
"Heather Manning","2005-04-05",93425,9635
"Deborah Davis","2001-07-02",21506,364
"Darrell Beltran","1967-01-22",47641,8304
"Karen Foster","2005-09-20",78562,4413
"Phyllis Nelson","1933-08-05",57100,2876
"Megan Gonzales","1947-02-03",87895,7422
"Jennifer Smith","1928-03-20",12780,5936
"Megan Barnett","1915-02-07",35174,2762
"Wendy Perez","1970-06-28",78634,8190
"Jeffrey Lopez","1980-11-07",9896,2028
"Nathaniel Morrison","2007-04-29",13137,622
"Laurie Mckinney","1930-01-15",12257,5393
"Alejandro Stewart","1939-03-30",57294,6799
"Derek Saunders","2009-11-18",58745,8243
"Jacob Patel","1937-01-25",96958,8641
"Kristen Cummings","1978-07-19",4655,3951
"Nathan Cain","2013-08-26",94872,9157
"Jeffrey Lyons","1987-04-07",28517,8636
"Michael Tate","2004-04-23",25236,6365
"Jonathan Brooks","1943-04-14",75823,6826
"Dustin Gentry","1957-07-15",71336,3063
"Margaret King","1972-07-10",40511,1784
"Bryan Shelton","1921-11-08",45356,7960
"Devin Mccall","2018-02-20",92179,7269
"Christian Roberts","1971-05-07",69760,4056
"Victoria Rowe","2003-02-10",55368,6741
"James Morris","1931-05-13",83742,2488
"Brian Castro","1912-06-01",41255,330
"Bruce Steele","1982-09-13",95783,8513
"Edward Gomez","2015-07-29",70177,4399
"Jennifer Donaldson","1991-02-06",49933,6916
"Erika Wilson","1998-08-01",60105,6723
"Stacey Henderson","1964-02-12",93000,5944
"Kayla Jacobs","2010-01-13",80833,2074
"Amanda Smith","1999-10-21",11212,8508
"Stacy Garrison","1975-07-15",10611,2978
"Benjamin Taylor","1958-03-14",32576,7308
"Ashley Hayes","1919-05-28",87376,4653
"John Nelson","1912-03-03",41379,6333
"Ashley Graham","2006-01-04",59482,94
"Joseph Thomas","1951-11-13",25455,2894
"Jacob Wiggins","1917-04-01",7170,3708
"Jenny Hampton","1934-09-17",2209,2141
"Sara Anderson","1914-12-31",50911,9770
"Natasha Martin","1954-06-23",35589,6493
"Richard Garza","2006-08-30",68596,6611
"Mrs. Victoria Compton","2011-04-17",96625,45
"Jodi Phillips","2002-12-12",36252,7168
"Jonathan Baker","2007-11-08",6422,1754
"Theresa Cruz","1951-03-23",32473,4749
"Jessica Fuller","2008-05-10",28246,8297
"Angel Thomas","1984-07-13",36467,2926
"Jocelyn Williamson","2018-03-16",91921,7203
"Sara Hawkins","1938-03-05",24062,6255
"Michael Molina","1978-04-27",65616,3558
"Ronald Hickman","1950-12-01",96470,5388
"Amanda Miller","2015-02-05",10477,2711
"Heather Patterson","2007-12-12",61352,6835
"Robert Roberson","1919-11-26",77576,4277
"Donna Hayes","1948-01-10",14946,3100
"Michael Dalton","2006-05-15",99554,128
"Valerie Downs","1985-05-17",3499,2947
"Amber Martin","1940-03-25",79252,633
"Danny Frank","1921-10-12",4522,8674
"Monica Rodriguez","1915-12-18",11480,392
"Ronald Brown","1933-12-03",20816,9059
"Patricia Marks","1942-12-05",87758,3765
"Susan Gamble","1985-10-31",58597,5044
"Natalie Ponce","2015-08-14",69357,7240
"Norma Harris","1992-07-25",16842,1628
"Daniel Richardson","1918-01-08",67443,6016
"Deborah Barker","1950-07-02",74077,802
"Sean Garza","1907-11-09",89388,9243
"Rachel Parker","1964-01-30",97641,1531
"Marc Barajas","2005-11-28",45202,6004
"Jim Roberts","2016-02-10",92258,4235
"Ian Monroe","1908-08-09",41314,6393
"Audrey Douglas","2009-12-08",1738,6763
"Suzanne Sexton","1930-04-05",89363,4717
"James Porter","1926-04-24",94414,4493
"Ryan Vance","1991-05-22",78231,620
"Mary Hill","2015-09-22",78639,4661
"Alexander Cummings","1971-10-05",31039,9701
"Andrea Hernandez","1989-06-19",34878,4458
"Thomas Weaver","1989-10-04",50055,4056
"Kathy West","1930-08-28",13249,2434
"Kerry Collins","2005-07-19",69241,4787
"Nathan Allen","1971-08-27",92540,5835
"Melissa Rivas","1985-04-24",78941,5878
"Tammy Good","1995-06-16",73601,1212
"Robert Ewing","1948-04-22",73216,6898
"Adam Bowers","1933-12-11",35724,8873
"Richard Anderson","1948-12-06",87770,2391
"Brenda Miller","2005-07-13",16137,9747
"Jessica Mills","1974-05-09",5382,6452
"Dalton Howard","1947-12-14",27496,9297
"Chad Jimenez","1987-05-26",28683,3975
"Brittney Williams","1995-05-23",89057,7903
"John Collins","2001-07-27",86628,380
"Latoya Burton","1962-05-18",51889,2014
"Joyce Daniels","1938-04-17",9668,2170
"Rebecca Armstrong","1948-04-03",17349,1223
"Tyler Hill","1980-03-20",96394,7826
"Carol Price","2002-07-22",31661,5738
"Andrea Diaz","1921-05-05",84430,6134
"Matthew Krueger III","1943-09-19",97036,7331
"Andrew Fisher","1978-06-09",46593,2102
"Mr. James Chapman","1992-03-05",28706,1764
"Sue Wolfe","2020-06-20",15529,5917
"Mckenzie Gray","1986-10-08",34811,2436
"Aaron Gates","1999-09-29",98809,4647
"Jean Hunter","1915-07-11",91759,9667
"Cindy Reed","1922-01-27",3403,6156
"Allison Brown","1996-02-06",78556,8652
"Robin Olson","1942-03-06",31656,9706
"Olivia Taylor","2000-01-22",87767,6692
"Sean Martin","1959-04-01",93136,5404
"Jeffrey Walters","1967-08-29",59418,8739
"Joseph Cruz","1955-05-24",99846,8045
"Dr. Martha Reed","1917-06-13",89843,7620
"Sarah Bauer","2019-04-06",54127,5413
"Travis Rodriguez","1933-08-17",55695,2188
"James Hernandez","1918-01-19",39309,1259
"Carol Harris","1960-01-22",16175,7056
"Matthew Johnson","1970-08-07",81081,7906
"Haley Walsh","1975-04-21",1123,4251
"Tammy Moses","2005-03-11",87727,6672
"Charles Johnston","1933-10-31",56909,6246
"Elizabeth Green","1926-11-03",72230,844
"Maria Brown","1921-10-17",4627,3388
"Carl Thomas","1999-11-20",86105,9536
"Mrs. Crystal Bonilla PhD","2011-03-27",96146,9127
"David Baker","1999-01-26",17098,6007
"Sandy Howe","1965-04-04",10882,8537
"James Hines","1934-09-18",70963,8980
"Joseph Barron","1934-10-03",33096,5301
"James Monroe","1999-03-18",71371,1498
"Nicole Davis","1979-10-28",47283,5638
"Curtis Sanders","1972-07-17",72241,3230
"Kevin Herrera","1984-10-15",37997,794
"Jessica Ferguson","2003-07-31",79344,3654
"Brian Sullivan","1944-04-23",81757,7087
"Anne Baker","1974-12-31",25097,6183
"Samantha Santiago","1915-03-22",11266,7456
"Brenda Holland","1959-01-06",50958,6659
"John Larsen","1910-02-16",41012,7782
"Mary Warren","1965-11-26",63058,7996
"Tonya Hanson","2002-07-24",33899,7521
"Caitlin Reynolds","1969-07-23",28782,7263
"Micheal Decker","1939-08-20",96126,5912
"Cynthia Brown","1950-10-02",42106,7966
"Samuel Gomez","1949-06-13",58560,263
"Leah Montoya","1986-09-26",24175,9884
"James Thomas","1920-05-22",38099,4219
"Karen Taylor","1998-09-08",74940,8599
"Melvin Chaney","1941-06-27",7368,2171
"Lisa Sanders","1976-10-01",66369,657
"Amber Black","1986-07-09",63717,1100
"Jason Frazier","1924-01-23",55982,7710
"Justin Brooks","1928-06-20",91881,478
"Ashley Torres","1910-12-03",74337,2546
"Jeffery Chapman","1967-08-23",2718,5210
"Dr. Tiffany Smith MD","2009-08-18",14890,4398
"Edward Jones","1996-05-30",37514,2185
"Ariel Wolf","1941-11-07",33360,5669
"Briana Cain","1997-09-16",32428,656
"John Roman","2007-12-13",80029,2130
"Rhonda Lambert","1911-05-08",87527,2865
"Brandon Dalton","1979-05-07",42727,6696
"Jeffrey Weiss","1923-05-21",19033,4681
"Kristin Curtis","2005-03-11",77935,9680
"Kristin Carter","1951-11-30",96774,9334
"Austin Valdez","1962-07-30",49695,5387
"Sarah Downs","1980-01-06",3764,3690
"Dawn Bowers","2010-08-04",10034,1836
"Danielle Hensley","1935-01-24",46088,4411
"Jack Duncan","1935-08-04",20056,137
"Jose Woods","1907-09-24",64481,3741
"Samuel Reese","2013-03-04",15954,9371
"Cynthia Martinez","1965-06-27",35496,7549
"Javier Brown","1963-02-21",15825,9579
"Jeffrey Aguirre","1908-09-26",80625,4123
"Jean Perez","1930-09-27",39045,2401
"Betty Norris","2013-02-23",15468,1461
"Adam Vaughan","1950-12-04",76980,5262
"Christopher Sanchez","2009-02-07",72968,9281
"Aaron Nguyen","1991-03-22",80613,4217
"Jessica Harrison","1920-05-12",829,4994
"Scott Garcia","2006-06-18",36918,9101
"Mary Buckley MD","1981-01-21",16386,1437
"Joseph Scott","2018-02-03",64561,4954
"Andrew Richard","2005-09-20",75577,3582
"Stephen Hill","2000-11-06",39069,7598
"Kristi Potts","1919-01-14",12629,4801
"Paul Miller","1915-02-15",67561,7558
"Evelyn Contreras","1935-12-16",32160,2395
"Denise Vincent","1939-05-10",15252,3460
"Erin Griffin","2003-06-30",93289,9438
"John Fletcher","2012-09-02",70135,8579
"Julie Weaver","2019-01-29",8314,8173
"Whitney Andersen","1968-12-10",22638,9126
"Lisa Stanley","1933-10-25",4056,6960
"Howard Romero","2014-01-27",16987,6637
"Mindy Hall","1926-05-03",28628,4415
"William Macdonald","1978-10-08",63556,8913
"Erica Bennett","1974-05-06",99395,4402
"Sherry Parker","1982-01-03",55745,8219
"Nathan Hudson","1924-01-09",20083,9936
"David Young","1988-03-06",5530,4108
"Larry Blake","1910-07-29",6736,3624
"Christopher Ferguson","1964-05-14",507,5731
"Lynn Beck","1974-01-22",14224,5314
"Melissa Hess","2004-01-06",81958,2902
"Zachary Anderson","1963-02-23",44619,9651
"Cody King","1931-04-12",10847,8393
"Danielle Carlson","2009-03-28",37684,8731
"Anna Webb","1974-05-28",85741,8680
"Amanda Bennett","1922-10-20",33419,1978
"Sydney Wilson","2017-11-25",10337,396
"Tamara Johnson","1933-07-16",92730,4144
"Jacqueline Stokes","1960-06-10",85515,2216
"Patricia Mathis","1954-11-22",40755,4153
"Ryan Alexander","1938-12-12",94077,8809
"Mr. Paul Williams","1987-07-06",60128,8821
"Grant Ball","1941-09-25",38224,7340
"Jasmine Cordova","1991-04-07",44902,3383
"John Farley","1952-10-29",80555,1482
"Elizabeth Osborne","1999-04-04",5418,5187
"Timothy Frank","1906-03-05",96215,4969
"Alison Shelton","1948-08-18",41022,7755
"William Ward","1964-11-22",49083,8996
"Justin Morris","1965-01-03",27614,4546
"Jerome Stewart","1996-01-20",73724,6232
"Robert Jackson","1915-04-20",7356,7420
"Kevin Lopez","1996-09-30",42170,2792
"Justin Blackburn","1952-06-10",42949,6983
"Jennifer Henderson","1906-08-27",12202,5753
"Ryan Wilcox","1926-02-12",86082,8237
"Katie Graham","1966-01-20",39482,2047
"Matthew Johnson","1938-02-27",67572,2626
"Kathleen Johnson","1973-04-19",91070,3476
"Robert Sims","1952-12-02",58826,763
"Ronald Dean","1910-10-08",98904,1461
"Anthony Hill","1982-09-30",8975,556
"Isaac Sanchez","1974-09-13",29162,5448
"Patricia Wallace","1995-05-21",53346,615
"Courtney Brown","2016-08-10",91822,4757
"Pam Mitchell","1918-05-15",81168,3450
"David Warren","2000-03-30",16324,9694
"Lisa Cole","1965-03-08",85391,3855
"Janice Marshall","1994-08-12",27211,8008
"Cody Hodges","1924-09-17",89154,3111
"Anna Fields","1941-07-03",82549,5886
"Zachary Goodwin","1993-06-09",19009,8771
"Kristopher Price","2005-08-01",11903,6293
"Jeffrey Hood","2015-04-03",47986,4207
"Marissa Bass","1988-06-15",15043,212
"Shannon Kim","2016-06-17",68881,5810
"Joan Greene","1942-01-04",63160,2063
"Angela Ramos","1912-10-01",36867,2243
"Sonia Thomas","1944-01-22",21154,3606
"Mary Castillo","1989-07-02",39828,4597
"Heather Moore","2015-05-14",1261,3851
"Thomas White","1916-07-28",63115,5566
"Edwin Mcconnell","1931-02-15",25677,3264
"Lori White","1956-08-04",2354,9807
"Tonya Barnes","1932-08-30",92786,689
"Laura Adams","2000-03-20",52176,2407
"Alexandra Rush","2017-06-26",75562,2218
"Robert Wells","1968-07-26",78241,9014
"Nichole Martin","1912-09-18",79000,8778
"Derrick Savage","2009-01-12",20516,7550
"Brent Francis","1984-03-23",51371,714
"Rick Suarez","1939-06-23",47383,9573
"Jacob Hodges","1975-02-26",51266,7940
"Martin Snow","1983-02-25",28513,9842
"Caitlin Poole","1983-11-10",33009,7155
"Melanie Brooks","2019-02-22",84086,6719
"Garrett Wise","1946-07-08",93664,659
"Kyle Roberts","1955-03-09",23533,7091
"Lance Davis","1956-02-27",68025,8829
"Levi Jackson","1961-11-21",62570,5112
"Lauren Nichols","1912-09-27",84723,2790
"Mr. John Hernandez","1921-05-22",54563,3767
"Eduardo Smith","1911-12-14",26277,9386
"Cory Williams","1930-11-15",90968,7277
"Luis Martinez","1982-01-30",995,8317
"Gregory Franklin","1920-09-15",74552,8692
"Sharon Miller","1991-05-20",97016,7343
"Michael Lewis","1911-02-01",67726,4852
"Laura Clarke","1913-02-20",99818,2132
"Heather Hartman","1912-05-30",78985,6792
"Patrick Stewart","1923-11-06",76674,4838
"Joseph Smith","2013-04-18",16817,6096
"Michael Clarke","1945-10-23",81244,1647
"Margaret Diaz","2000-08-19",20205,1155
"Richard Trujillo","2013-01-07",86391,102
"Michael Bell","2008-02-17",72652,1158
"Jessica Brown","1941-08-30",82976,9083
"Tammy Carter","1920-09-25",67536,3685
"John Brown","1915-10-16",94104,5864
"Levi Perez","1955-08-31",3219,1193
"Nancy Smith","2018-12-31",27739,742
"Matthew Davidson","1942-01-14",22305,2562
"Nancy Howell","2015-08-20",83598,285
"Jennifer Hernandez","1924-08-29",95135,1477
"Leslie Carlson","1972-05-26",76884,7276
"Derrick Mason","1974-09-04",8960,2565
"Justin Farmer","1938-10-08",80775,1338
"Tyler Oneill","1986-03-20",90963,4091
"Andrew Wilson","1933-12-14",30547,2761
"Roberto Shaw","2017-02-22",79406,9727
"Dennis Baxter","2019-10-21",81199,1124
"Tammy Clarke","1980-02-02",1927,5134
"Curtis Wall","1989-10-06",15732,4320
"Debra James","1964-03-30",21603,5849
"Victoria Larson","1909-02-02",89854,6710
"Ronald Kennedy","1965-05-19",9488,5653
"Christopher Harris","1998-01-02",30280,4471
"Tina Yang","1978-08-30",76417,3765
"Mary Moore","1977-12-10",96431,3298
"Daniel Orr","1952-05-24",1257,9469
"Ray Chavez","1944-10-27",80097,6554
"Zachary Walker","1925-10-17",45256,1322
"Marissa French","1942-05-22",1197,3540
"Heather Baker","1941-06-04",85350,5495
"Terri Mcmillan","2014-10-25",6402,3374
"Theresa Ramirez","1993-03-17",62671,2697
"Ryan Stewart","2003-12-09",33340,1848
"Nancy Hanson","1946-09-07",31632,7847
"Mr. David Noble","1997-03-08",45132,3667
"Erica Powell","1997-09-03",16010,1813
"Ashley Bright","1970-05-02",71948,4758
"Hunter Walker","2009-07-29",8166,7457
"Steven Walton","1945-09-10",41456,339
"Brandon Ellis","1943-05-16",98682,820
"Chad Burns","1947-08-08",20560,8183
"Kayla Ford","1916-06-23",10593,6540
"Shannon Walker MD","1964-09-18",31661,3675
"Miguel Matthews","1928-09-21",30465,5257
"Darryl Mendoza","1965-11-20",7970,3532
"Ian Shaw","1997-05-31",52209,8071
"Tami Mccall","1947-06-24",86408,8160
"Joshua Hall","2012-02-15",75063,4547
"Melvin Liu","1944-03-18",76819,5843
"Stephanie Smith","1993-10-01",97287,391
"Nicholas Hicks","1908-10-04",88208,5242
"Erik Pearson","1955-11-01",23413,2864
"Ivan Myers","1977-02-02",19706,9156
"Erin Mcmahon","2006-12-28",31797,782
"Mindy Howard","1914-12-01",62319,6627
"Michael Brewer","1947-08-30",69332,4227
"Todd Wilson","1965-06-18",36066,6841
"Jennifer Johnson","1953-10-10",33121,9029
"Cody Harmon","1980-12-08",60709,7204
"Gregory Scott","1931-06-29",49192,6678
"Alex Lopez","1977-07-11",8920,5678
"Amanda Warren","1942-03-20",48784,452
"Miranda Obrien","1958-09-29",56866,1530
"Kelly Kidd","2019-12-31",3050,4355
"Erin Hughes","1974-11-23",14875,6297
"Betty Thomas","2009-11-22",61121,6535
"Kyle Poole","1961-09-06",90657,3012
"Susan Chan","2018-08-02",28645,4229
"Derek Bowman","1977-06-06",25678,2209
"Shannon Gomez","1944-07-14",47990,61
"Jason Hoffman","1912-11-16",61703,1735
"Sarah King","1990-10-03",89687,3801
"Glenn Hawkins","1919-03-16",69174,9855
"Kimberly Williams","1908-07-12",45973,1850
"Natalie Bailey","1965-01-22",64058,4653
"Deborah Howard","2012-07-11",3872,9548
"Angela Morales","1948-02-10",23733,5895
"Jeremy Allen","1924-12-16",15384,2844
"Cody Cole","1942-04-03",60446,8062
"Hannah Kim","1938-12-28",85548,3751
"Christopher Webb","1912-01-12",90753,2016
"Ryan Rosales","1998-06-30",36200,286
"Daniel Simon PhD","1981-01-07",8466,6746
"Leonard Gonzalez","1967-06-12",31155,1025
"Lindsey Nelson","1936-03-12",72828,1506
"Jimmy Brown","1913-08-13",70960,6366
"Michael Jordan","1976-12-24",90298,8523
"Jason Hart","1955-11-22",25759,7528
"Megan Morales","1927-08-07",13641,7933
"Katherine Ward","1932-06-22",44883,4837
"Arthur Bowers","1923-01-20",39203,2404
"Hannah Mcbride","2017-12-14",12632,7978
"Melissa Franco","1925-09-10",91492,2402
"Richard Good","1961-09-04",27974,5610
"Amber Henderson","2017-12-29",37806,5127
"Walter Mills","2000-08-01",11055,4016
"Jillian Freeman","1955-11-11",87842,7875
"Anne Wilcox","1992-11-30",50013,2311
"Anthony Sanchez","1999-06-01",25396,6663
"Tanya Alexander","1983-01-31",36828,435
"Mary Flores","1967-11-11",30433,3088
"David Powell","1920-01-09",97002,464
"Barry Glover","2000-10-26",89229,6977
"Destiny Turner MD","1994-12-23",72978,2497
"Deborah King","1949-07-13",75660,3184
"Brenda Ball","1918-05-07",28737,8199
"Anthony Dalton","1944-11-12",21728,6784
"Sandra Choi","2015-12-28",38231,1799
"Mary Mccann","1913-03-01",98521,3984
"Bryan Lawrence","2010-12-02",89433,7623
"Lisa Mason","2007-11-05",75152,7534
"Amber Green","1942-01-04",33919,3928
"Andrew Hinton","1941-05-03",69401,8346
"Paul Ramos","2019-04-08",695,5810
"Christopher Barrett","1999-07-12",87731,4483
"Mary Davis","2005-07-11",61661,8694
"Shaun Johnson","1971-12-09",16115,5433
"Jeffrey Klein","1906-11-03",21562,5662
"Jean Kelly","2000-04-06",8332,2226
"Erica Green","2010-10-14",2983,4517
"Christine Jimenez","1965-04-24",68542,7313
"Courtney Hansen","1929-04-26",99803,8916
"Gregory Duncan","1960-05-26",23180,6258
"Lisa Bradshaw","1928-06-14",38341,6607
"Michael Fitzgerald","1951-02-11",18014,7551
"Stephanie Sanchez","1943-10-19",73953,5263
"Mrs. Jessica Cervantes","1908-11-24",83740,1359
"Brittney Ramirez","2010-09-14",25405,474
"Grant Henderson","1955-08-22",7777,2731
"Sally Ramirez","1940-07-28",94201,3150
"Erica Bradford","1946-08-28",94745,9683
"Alexandra Burke","1913-08-06",23968,1364
"James Price","1912-01-15",58766,5727
"Mr. Michael Reeves DVM","1936-07-10",43803,4936
"Micheal Price","1984-06-17",11719,7095
"Anthony Davis","2011-01-17",4887,99
"Mrs. Lisa Brown","2006-07-23",44577,2402
"Amber Flores","1921-03-12",32170,5141
"Kevin Robles","1981-09-04",97607,7668
"Tiffany Moore","2000-07-12",4018,4942
"Shelly Monroe","1906-01-08",48703,6797
"Nicole Day","2006-05-24",17531,1526
"Matthew Chapman","2009-03-07",18938,8735
"Angel Cervantes","1985-03-13",95849,5360
"Dr. Scott Reynolds Jr.","1919-09-15",49558,2235
"Troy Vaughn","1988-09-03",31304,3335
"Melissa Keith","2016-07-12",16977,5967
"Sheila Ferguson","1975-05-26",42772,2122
"Donald Villarreal","2005-06-25",4402,5456
"Timothy Lawson","1913-06-22",75688,7982
"Sheri Johnson","2000-04-20",28803,9667
"Joseph Powell","1940-08-26",76789,1670
"Michele Butler","1986-11-28",71972,6591
"Casey Arnold","1983-08-29",82057,4640
"Katrina Collins DVM","1934-04-14",84435,7486
"Monica Brown","1969-12-04",48388,6128
"Nicole Hughes","1982-07-24",40512,7643
"Kimberly Alvarez","1933-11-30",30839,6283
"Angela Medina","2007-11-08",20935,9759
"Ian Fox","1923-06-02",77342,715
"Ashley West","1965-04-01",38641,2243
"Nicholas Murray","1979-07-01",22875,3223
"Shannon Ortega","1970-07-09",85247,7224
"Randy Blake","2014-11-10",75099,6613
"Andrew Garcia","2019-04-04",74579,8811
"Jerry Smith","1922-07-28",20227,3398
"Michael Carr","1946-12-17",75210,1260
"Jessica Wells","1941-08-01",4122,57
"Rhonda Maynard","2007-11-22",55285,9568
"Rebecca Mann","1969-03-22",14165,2331
"Vickie Davis","1954-04-08",77299,5481
"Robert Meyer","1944-07-06",38605,1083
"Kimberly Hernandez","1930-06-08",2686,4113
"James Mueller","1942-02-13",52520,8431
"Ellen Green","1988-11-24",54058,2846
"John Moore","1961-01-15",91449,5433
"Jeffrey Gray","1926-07-25",22252,2653
"Scott Johnson","1968-05-23",74134,5283
"John Welch","2011-01-26",12538,7925
"Ryan Holder","2011-08-15",54576,8179
"Patricia Mack","2018-02-09",95095,1481
"Lisa Rodriguez","2020-06-28",56241,8721
"Kenneth Robinson","1955-05-15",74249,9089
"Robert King","1926-10-19",38060,2882
"Heather Graham","1913-01-13",50972,8252
"Mrs. Kayla Bautista","1977-07-29",67886,4630
"Robin Martin","1984-03-22",8892,3066
"Lucas Cline","1910-02-02",11280,376
"Jessica Kennedy","1936-05-31",32729,9456
"Erik Davis","2013-04-01",37197,5794
"Laurie Cox","1976-05-11",46907,8413
"Makayla Parker","1976-08-10",62410,299
"Lindsey Smith","1938-06-08",56359,6023
"Crystal Smith","1908-11-11",5471,1282
"Joshua Moore","1905-06-15",6310,8627
"Alexa Johnson","1965-07-10",87347,8413
"Jacob Knox","2010-04-11",57949,5574
"Tracy Williamson","1946-04-18",19264,5457
"Charles Peterson","1930-05-09",94763,4879
"Jacob Walker","2006-11-03",52656,3414
"Isaac Davidson DVM","1976-01-28",33827,2574
"Jennifer Moss","1990-11-20",25924,7394
"Blake Salazar","1968-07-17",48868,6712
"Whitney Howard","1905-06-22",2837,3819
"Melissa Christian","2003-11-25",6185,2959
"Courtney Fernandez","1929-03-27",17082,2526
"Daniel Skinner","1982-07-05",12508,2071
"David Scott","1932-04-23",62740,4746
"Daniel Mack","1919-01-05",97243,4617
"Nicholas Sutton","1978-04-25",92499,9170
"Briana Cruz","1946-06-27",57189,6583
"Cheyenne Reyes","1936-08-22",69229,3518
"Paul Nguyen Jr.","1998-03-05",37363,6087
"Valerie Gibson","2004-01-04",49638,9704
"William Cox","1964-07-26",17120,8707
"Harry Anderson","1928-08-08",84063,3018
"Jamie Cummings","1930-07-29",25441,5947
"Jackie Ramirez","1968-06-13",70105,8252
"Elizabeth Rodriguez","1997-07-27",35859,3568
"Marcus Martinez","1980-01-09",36708,1277
"Steven Mitchell","1917-05-18",26756,8904
"Caitlin Hernandez","1928-07-05",75755,6349
"Charles Frazier","1956-04-14",78833,3215
"Nancy Morgan","1944-08-25",52547,9939
"Matthew Burke","1954-01-21",28869,3684
"Nicole Johnson","1970-09-07",75355,1603
"Evan Garcia","1963-02-16",71424,9158
"Mary Blanchard","1951-05-11",58024,2971
"Colleen Johns","1952-02-18",51742,1205
